#genre#
更新时间,20260702 13:17:16

央视频道,#genre#
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV1,http://69.30.245.50/live/cctv1.m3u8
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV9,https://xykt-fix.github.io/Y77.m3u8
CCTV10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV15,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV17,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV4欧洲,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8
CGTN,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
CGTN,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CGTN,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
江苏,#genre#
武进新闻,https://live.wjyanghu.com/live/CH1.m3u8
武进生活,https://live.wjyanghu.com/live/CH2.m3u8
广东,#genre#
韶关公共台,https://www.sgmsw.cn/videos/tv/201805/1308/9P424TC5M000AFO13CXK6GN6BOA889D2/hls/live.m3u8
韶关综合台,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
河源综合,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
福建,#genre#
福州广播电视台新闻综合频道,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
福州广播电视台都市生活频道,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
福州电视台少儿频道,http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
浙江,#genre#
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
蕭山生活,https://l.cztvcloud.com/channels/lantian/SXxiaoshan2/720p.m3u8
新昌休闲影视,https://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
绍兴新闻综合,http://live.shaoxing.com.cn/video/s10001-sxtv1/index.m3u8
绍兴文化影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
上虞3新商都,https://l.cztvcloud.com/channels/lantian/SXshangyu3/720p.m3u8
上虞经济文化,https://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8
嵊州新闻综合,https://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
云南,#genre#
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8
江津经济生活,http://222.179.155.21:1935/ch0.m3u8
吉林,#genre#
长春综合,https://stream2.jlntv.cn/jlcc/sd/live.m3u8
松原新闻综合,https://stream2.jlntv.cn/sytv/sd/live.m3u8
白山新闻综合,https://stream2.jlntv.cn/baishan1/sd/live.m3u8
辽源新闻综合,https://stream2.jlntv.cn/liaoyuan1/sd/live.m3u8
港澳台,#genre#
林正英,http://epg.112114.xyz/douyu/218859
其它,#genre#
欧美大片1,http://epg.112114.xyz/douyu/20415
欧美大片2,http://epg.112114.xyz/douyu/2793084
欧美大片3,http://epg.112114.xyz/douyu/9249162
贝爷影厅,http://epg.112114.xyz/douyu/252802
刘德华-电影,http://epg.112114.xyz/douyu/2516864
周星驰-电影,https://live.ottiptv.cc/yy/1354888671
yy轮播,#genre#
射雕英雄传(83版),https://live.ottiptv.cc/yy/1354210357
李连杰-电影,https://live.ottiptv.cc/yy/1382736873
洪金宝-电影,https://live.ottiptv.cc/yy/1354924839
成龙-电影,https://live.ottiptv.cc/yy/1354888751
赌神-电影,https://live.ottiptv.cc/yy/1354889044
林正英-电影,https://live.ottiptv.cc/yy/1354932444
周星驰-电影,https://live.ottiptv.cc/yy/1354888671
科幻动作-电影,https://live.ottiptv.cc/yy/1382749948
动作电影,https://live.ottiptv.cc/yy/1382745096
国内动作大片-电影,https://live.ottiptv.cc/yy/1382745176
国内喜剧-电影,https://live.ottiptv.cc/yy/1382851598
举起手来-电影,https://live.ottiptv.cc/yy/1382736877
伪装者-电视剧,https://live.ottiptv.cc/yy/1354936244
伪装者-电视剧,https://live.ottiptv.cc/yy/1382851593
正阳门下-电视剧,https://live.ottiptv.cc/yy/1382851588
正阳门下-电视剧,https://live.ottiptv.cc/yy/1354931580
北京爱情故事-电视剧,https://live.ottiptv.cc/yy/1382744423
父母爱情-电视剧,https://live.ottiptv.cc/yy/1354926650
父母爱情-电视剧,https://live.ottiptv.cc/yy/1382851594
粟裕大将-电视剧,https://live.ottiptv.cc/yy/1354926542
风筝-电视剧,https://live.ottiptv.cc/yy/1354931585
士兵突击-电视剧,https://live.ottiptv.cc/yy/1382851600
情满四合院-电视剧,https://live.ottiptv.cc/yy/1382851524
情满四合院-电视剧,https://live.ottiptv.cc/yy/1382851601
情满四合院-电视剧,https://live.ottiptv.cc/yy/1382745089
康熙王朝-电视剧,https://live.ottiptv.cc/yy/1382851583
宰相刘罗锅-电视剧,https://live.ottiptv.cc/yy/1382745191
神医喜来乐-电视剧,https://live.ottiptv.cc/yy/1382714119
天龙八部-电视剧,https://live.ottiptv.cc/yy/1352300646
天龙八部-电视剧,https://live.ottiptv.cc/yy/1355067965
新白娘子传奇-电视剧,https://live.ottiptv.cc/yy/1354930969
刑事侦缉档案I-电视剧,https://live.ottiptv.cc/yy/1382851585
